id,name,castTime,minRange,maxRange,isPassive,isTalent,cooldown,costs
122,Frost Nova,0.000000,0,0,0,0,0.000000,
235219,Cold Snap,0.000000,0,0,0,0,300.000000,
1459,Arcane Intellect,0.000000,0,40,0,0,0.000000,
157997,Ice Nova,0.000000,0,40,0,1,25.000000,
153595,Comet Storm,0.000000,0,40,0,1,30.000000,
108853,Fire Blast,0.000000,0,40,0,0,0.500000,
205027,Bone Chilling,0.000000,0,0,1,1,0.000000,
190356,Blizzard,1.857000,0,40,0,0,8.000000,
76613,Mastery: Icicles,0.000000,0,0,1,0,0.000000,
113724,Ring of Frost,1.857000,0,30,0,1,45.000000,
2139,Counterspell,0.000000,0,40,0,0,24.000000,
205036,Ice Ward,0.000000,0,0,1,1,0.000000,
30455,Ice Lance,0.000000,0,40,0,0,0.000000,
56384,Arcane Momentum,0.000000,0,0,1,0,0.000000,
205021,Ray of Frost,0.000000,0,40,0,1,75.000000,
155149,Thermal Void,0.000000,0,0,1,1,0.000000,
278309,Chain Reaction,0.000000,0,0,1,1,0.000000,
45438,Ice Block,0.000000,0,0,0,0,240.000000,
120146,Ancient Portal: Dalaran,9.283000,0,10,0,0,60.000000,
11426,Ice Barrier,0.000000,0,0,0,0,25.000000,
212653,Shimmer,0.000000,0,0,0,1,0.500000,
44544,Fingers of Frost,0.000000,0,0,1,0,0.000000,
108839,Ice Floes,0.000000,0,0,0,1,0.000000,
84714,Frozen Orb,0.000000,0,40,0,0,60.000000,
30449,Spellsteal,0.000000,0,40,0,0,0.000000,
80353,Time Warp,0.000000,0,0,0,0,300.000000,
190336,Conjure Refreshment,2.785000,0,0,0,0,15.000000,
116,Frostbolt,1.857000,0,40,0,0,0.000000,
12472,Icy Veins,0.000000,0,0,0,0,180.000000,
11,Frostbolt of Ages,0.000000,0,100,0,0,0.000000,
235224,Frigid Winds,0.000000,0,0,1,1,0.000000,
1,Word of Recall (OLD),9.283000,0,0,0,0,0.000000,
190446,Brain Freeze,0.000000,0,0,1,0,0.000000,
130,Slow Fall,0.000000,0,40,0,0,0.000000,
1953,Blink,0.000000,0,0,0,0,0.500000,
205024,Lonely Winter,0.000000,0,0,1,1,0.000000,
56377,Splitting Ice,0.000000,0,0,1,1,0.000000,
270233,Freezing Rain,0.000000,0,0,1,1,0.000000,
118,Polymorph,1.578000,0,30,0,0,0.000000,
66,Invisibility,0.000000,0,0,0,0,300.000000,
12982,Shatter,0.000000,0,0,1,0,0.000000,
199786,Glacial Spike,2.785000,0,40,0,1,0.000000,
116011,Rune of Power,1.392000,0,30,0,1,10.000000,
120,Cone of Cold,0.000000,0,0,0,0,12.000000,
55342,Mirror Image,0.000000,0,0,0,1,120.000000,
44614,Flurry,2.785000,0,40,0,0,0.000000,
475,Remove Curse,0.000000,0,40,0,0,8.000000,
235297,Glacial Insulation,0.000000,0,0,1,1,0.000000,
205030,Frozen Touch,0.000000,0,0,1,1,0.000000,
1463,Incanter's Flow,0.000000,0,0,1,1,0.000000,
257537,Ebonbolt,2.321000,0,40,0,1,45.000000,
205473,Icicles,0,0,0,1,0,0,
31687,Summon Water Elemental,1.5,0,0,0,0,30,
228358,Winter's Chill,0,0,0,1,0,0,
1449,Arcane Explosion,0,0,0,0,0,0,MANA:5000
153561,Meteor,0,0,40,0,1,45,MANA:500
127111,Freeze,0,0,45,0,0,25,MANA:6000
31661,Dragons Breath,0,0,0,0,1,45,MANA:2000
381706,Snowstorm,0,0,0,0,1,0,
382440,Shifting Power,0,0,0,0,1,60,MANA:2500
382144,Slick Ice,0,0,0,0,1,0,
378749,Deep Shatter,0,0,0,0,1,0,
236662,Ice Caller,0,0,0,0,1,0,
382103,Freezing Winds,0,0,0,0,1,0,
135029,Water Jet,1,0,45,0,0,45,
